items,k_user_id,redeemed_at,saleAmount,user_id
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/G.jpg', 'key': '-LPQbCkFElq7gPAA2kgY', 'name': 'मूंगफली', 'status': True}, {'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/eggs.jpg', 'key': '-LPQ_S96CqbXnBu0kL-T', 'name': 'अंडा', 'status': True}]",3680,2019-02-07 09:24:47.872,0,27006
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/eggs.jpg', 'key': '-LPQ_S96CqbXnBu0kL-T', 'name': 'अंडा', 'status': True}]",4052,2019-02-07 09:25:54.565,20,26442
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/eggs.jpg', 'key': '-LPQ_S96CqbXnBu0kL-T', 'name': 'अंडा', 'status': True}]",4052,2019-02-07 09:25:54.581,20,26442
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/eggs.jpg', 'key': '-LPQ_S96CqbXnBu0kL-T', 'name': 'अंडा', 'status': True}]",4052,2019-02-07 09:25:54.583,20,26442
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/eggs.jpg', 'key': '-LPQ_S96CqbXnBu0kL-T', 'name': 'अंडा', 'status': True}]",4052,2019-02-07 09:25:54.586,20,26442
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/eggs.jpg', 'key': '-LPQ_S96CqbXnBu0kL-T', 'name': 'अंडा', 'status': True}]",4052,2019-02-07 09:25:54.596,20,26442
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/eggs.jpg', 'key': '-LPQ_S96CqbXnBu0kL-T', 'name': 'अंडा', 'status': True}]",4052,2019-02-07 09:25:54.599,20,26442
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/eggs.jpg', 'key': '-LPQ_S96CqbXnBu0kL-T', 'name': 'अंडा', 'status': True}]",4052,2019-02-07 09:25:54.601,20,26442
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/eggs.jpg', 'key': '-LPQ_S96CqbXnBu0kL-T', 'name': 'अंडा', 'status': True}]",4052,2019-02-07 09:25:54.603,20,26442
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/eggs.jpg', 'key': '-LPQ_S96CqbXnBu0kL-T', 'name': 'अंडा', 'status': True}]",4052,2019-02-07 09:25:54.604,20,26442
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/eggs.jpg', 'key': '-LPQ_S96CqbXnBu0kL-T', 'name': 'अंडा', 'status': True}]",4052,2019-02-07 09:25:54.612,20,26442
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/eggs.jpg', 'key': '-LPQ_S96CqbXnBu0kL-T', 'name': 'अंडा', 'status': True}]",4052,2019-02-07 09:27:09.811,20,27199
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/eggs.jpg', 'key': '-LPQ_S96CqbXnBu0kL-T', 'name': 'अंडा', 'status': True}]",4052,2019-02-07 09:27:09.815,20,27199
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/eggs.jpg', 'key': '-LPQ_S96CqbXnBu0kL-T', 'name': 'अंडा', 'status': True}]",4052,2019-02-07 09:28:36.748,20,23881
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/MD.png', 'key': '-LPQaSQd38FTtpwxE-Jl', 'name': 'मसूर दाल', 'status': True}]",4052,2019-02-07 09:29:56.834,20,25203
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/MD.png', 'key': '-LPQaSQd38FTtpwxE-Jl', 'name': 'मसूर दाल', 'status': True}]",4052,2019-02-07 09:31:09.224,20,26488
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/MD.png', 'key': '-LPQaSQd38FTtpwxE-Jl', 'name': 'मसूर दाल', 'status': True}]",4052,2019-02-07 09:32:27.333,20,26721
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/MD.png', 'key': '-LPQaSQd38FTtpwxE-Jl', 'name': 'मसूर दाल', 'status': True}]",4052,2019-02-07 09:32:27.339,20,26721
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/MD.png', 'key': '-LPQaSQd38FTtpwxE-Jl', 'name': 'मसूर दाल', 'status': True}]",4052,2019-02-07 09:32:27.341,20,26721
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/eggs.jpg', 'key': '-LPQ_S96CqbXnBu0kL-T', 'name': 'अंडा', 'status': True}]",4052,2019-02-07 09:34:04.707,20,21095
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/eggs.jpg', 'key': '-LPQ_S96CqbXnBu0kL-T', 'name': 'अंडा', 'status': True}]",4052,2019-02-07 09:34:04.972,20,21095
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/eggs.jpg', 'key': '-LPQ_S96CqbXnBu0kL-T', 'name': 'अंडा', 'status': True}]",4052,2019-02-07 09:35:16.165,20,4363
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/eggs.jpg', 'key': '-LPQ_S96CqbXnBu0kL-T', 'name': 'अंडा', 'status': True}]",4052,2019-02-07 09:36:26.912,20,25420
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/eggs.jpg', 'key': '-LPQ_S96CqbXnBu0kL-T', 'name': 'अंडा', 'status': True}]",4052,2019-02-07 09:37:44.454,20,5169
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/eggs.jpg', 'key': '-LPQ_S96CqbXnBu0kL-T', 'name': 'अंडा', 'status': True}]",4052,2019-02-07 09:37:44.458,20,5169
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/G.jpg', 'key': '-LPQbCkFElq7gPAA2kgY', 'name': 'मूंगफली', 'status': True}]",3680,2019-02-07 09:38:41.091,0,10481
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/eggs.jpg', 'key': '-LPQ_S96CqbXnBu0kL-T', 'name': 'अंडा', 'status': True}]",4052,2019-02-07 09:39:22.289,20,5695
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/eggs.jpg', 'key': '-LPQ_S96CqbXnBu0kL-T', 'name': 'अंडा', 'status': True}]",4052,2019-02-07 09:39:22.291,20,5695
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/eggs.jpg', 'key': '-LPQ_S96CqbXnBu0kL-T', 'name': 'अंडा', 'status': True}]",4052,2019-02-07 09:39:22.293,20,5695
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/eggs.jpg', 'key': '-LPQ_S96CqbXnBu0kL-T', 'name': 'अंडा', 'status': True}]",4052,2019-02-07 09:39:22.307,20,5695
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/G.jpg', 'key': '-LPQbCkFElq7gPAA2kgY', 'name': 'मूंगफली', 'status': True}]",3680,2019-02-07 09:40:35.344,0,22331
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/G.jpg', 'key': '-LPQbCkFElq7gPAA2kgY', 'name': 'मूंगफली', 'status': True}]",4052,2019-02-07 09:40:38.051,20,27198
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/eggs.jpg', 'key': '-LPQ_S96CqbXnBu0kL-T', 'name': 'अंडा', 'status': True}]",5979,2019-02-07 09:41:14.943,20,26974
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/G.jpg', 'key': '-LPQbCkFElq7gPAA2kgY', 'name': 'मूंगफली', 'status': True}]",4052,2019-02-07 09:40:38.283,20,27198
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/G.jpg', 'key': '-LPQbCkFElq7gPAA2kgY', 'name': 'मूंगफली', 'status': True}]",3680,2019-02-07 09:41:53.111,0,22136
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/G.jpg', 'key': '-LPQbCkFElq7gPAA2kgY', 'name': 'मूंगफली', 'status': True}]",4052,2019-02-07 09:41:54.279,20,27203
